Bioactivity_ID,Activity_Value,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Aid_Type,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Taxonomy_ID,Cell_ID,Target_Taxonomy_ID,Anatomy_ID,Anatomy,dois,pmcids,pclids,citations
251028852,"",624415,17504222,3665766,"",57192,"",Screening,20130104,0,0,Inactive,NP_065394,"","",National Center for Advancing Translational Sciences (NCATS),qHTS for Inhibitors of the Human Mucolipin Transient Receptor Potential 1 (TRPML1),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",MCOLN1 - mucolipin TRP cation channel 1 (human),/gene/57192,"",Q9GZU1,9606,"","","","","","","",""
251424775,"",624417,17504222,3665766,"",2740,"",Confirmatory,20120726,1,0,Inactive,AAB64013,Potency,"",National Center for Advancing Translational Sciences (NCATS),qHTS of GLP-1 Receptor Inverse Agonists (Inhibition Mode),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",GLP1R - glucagon like peptide 1 receptor (human),/gene/2740,"",AAB64013,9606,"","","","","","","",""
252269954,"",624463,17504222,3665766,"",1813,"",Other,20120807,0,0,Inactive,NP_000786,"","",National Center for Advancing Translational Sciences (NCATS),Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Antagonists,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",DRD2 - dopamine receptor D2 (human),/gene/1813,"",P14416,9606,"","","","","","","",""
252605021,"",624464,17504222,3665766,"",1813,"",Other,20120807,0,0,Inactive,NP_000786,"","",National Center for Advancing Translational Sciences (NCATS),Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Potentiators,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",DRD2 - dopamine receptor D2 (human),/gene/1813,"",P14416,9606,"","","","","","","",""
253085307,"",624465,17504222,3665766,"",1813,"",Other,20120807,0,0,Inactive,NP_000786,"","",National Center for Advancing Translational Sciences (NCATS),Beta-Arrestin HTS for Positive Allosteric Modulators of the Human D2 Dopamine Receptor: Agonists,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",DRD2 - dopamine receptor D2 (human),/gene/1813,"",P14416,9606,"","","","","","","",""
253317557,"",624466,17504222,3665766,"",134864,"",Screening,20120816,0,0,Inactive,NP_612200,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based cell-based primary high throughput screening assay to identify antagonists of the human trace amine associated receptor 1 (TAAR1),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",TAAR1 - trace amine associated receptor 1 (human),/gene/134864,"",Q96RJ0,9606,"","","","","","","",""
253819520,"",624483,17504222,3665766,"","","",Screening,20120814,0,0,Inactive,"","","",NMMLSC,Counterscreen of compound fluorescence effects on High-throughput multiplex microsphere screening for inhibitors of toxin protease,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
253868905,"",624467,17504222,3665766,"",134864,"",Screening,20120808,0,0,Inactive,NP_612200,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence-based cell-based primary high throughput screening assay to identify agonists of the human trace amine associated receptor 1 (TAAR1),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",TAAR1 - trace amine associated receptor 1 (human),/gene/134864,"",Q96RJ0,9606,"","","","","","","",""
300115521,"",651560,17504222,3665766,"",52,"",Screening,20120904,0,0,Inactive,P24666,"","",Burnham Center for Chemical Genomics,"uHTS identification of small molecule inhibitors of Low Molecular Weight Protein Tyrosine Phosphatase, LMPTP, via a fluorescence intensity assay","2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",ACP1 - acid phosphatase 1 (human),/gene/52,3.1.3.2|3.1.3.48,P24666,9606,"","","","","","","",""
300322905,"",651550,17504222,3665766,"",207,"",Screening,20120824,0,0,Inactive,P31749,"","",National Center for Advancing Translational Sciences (NCATS),HTS Assay for Inhibitors of Akt Phophorylation: Primary Screen,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",AKT1 - AKT serine/threonine kinase 1 (human),/gene/207,2.7.11.1,P31749,9606,"","","","","","","",""
300800747,"",651572,17504222,3665766,"",246310,"",Screening,20120918,0,0,Inactive,NP_659558,"","",The Scripps Research Institute Molecular Screening Center,Fluorescence polarization-based biochemical primary high throughput screening assay to identify inhibitors of ADP-ribosylation factor GTPase activating protein 1 (ARFGAP1),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",Arfgap1 - ARF GTPase activating protein 1 (Norway rat),/gene/246310,"",Q62848,10116,"","","","","","","",""
302045831,"",651610,17504222,3665766,"","","",Screening,20121024,0,0,Active,"","","",Broad Institute,HIV entry: Env-mediated Cell Fusion Measured in Cell-Based System Using Plate Reader - 7013-01_Inhibitor_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
302216078,"",651602,17504222,3665766,"",947287,"",Screening,20120927,0,0,Inactive,NP_417296,"","",The Scripps Research Institute Molecular Screening Center,Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of RecBCD (with phage),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",recD - exodeoxyribonuclease V subunit RecD (Escherichia coli str. K-12 substr. MG1655),/gene/947287,5.6.2.3,P04993,511145,"","","","","","","",""
302216100,"",651602,17504222,3665766,"",947294,"",Screening,20120927,0,0,Inactive,NP_417299,"","",The Scripps Research Institute Molecular Screening Center,Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of RecBCD (with phage),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",recC - exodeoxyribonuclease V subunit RecC (Escherichia coli str. K-12 substr. MG1655),/gene/947294,"",P07648,511145,"","","","","","","",""
302216101,"",651602,17504222,3665766,"",947286,"",Screening,20120927,0,0,Inactive,NP_417297,"","",The Scripps Research Institute Molecular Screening Center,Absorbance-based primary bacterial cell-based high throughput screening assay to identify inhibitors of RecBCD (with phage),"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid",recB - exodeoxyribonuclease V subunit RecB (Escherichia coli str. K-12 substr. MG1655),/gene/947286,3.1.11.5|5.6.2.4,P08394,511145,"","","","","","","",""
303110779,"",651640,17504222,3665766,"","","",Screening,20121012,0,0,Inactive,"","","",Broad Institute,DENV2 CPE-Based HTS Measured in Cell-Based and Microorganism Combination System Using Plate Reader - 2149-01_Other_SinglePoint_HTS_Activity,"2-(4-Aminophenyl)-1,3-benzothiazole-6-carboxylic acid","","","","","","","","","","","","",""
